Name	Assembly
Alpaca	vicPac2
American_alligator	allMis1
Atlantic_cod	gadMor1
Bonobo	panPan1
bottlenose_dolphin	turTru2
Budgerigar	melUnd1
Bushbaby	otoGar3
C.elegans	ce11
C.intestinalis	ci2
Cat	felCat8
Chicken	galGal4
Chimpanzee	panTro5
Chinese_hamster	criGri1
Coelacanth	latCha1
Cow	bosTau8
D.melanogaster	dm6
D.yakuba	droYak2
Dog	canFam3
Elephant	loxAfr3
Elephant_shark	calMil1
Ferret	musFur1
Florida_manatee	triMan1
Fugu	fr3
Gibbon	nomLeu3
Gorilla	gorGor3
Guinea_pig	cavPor3
Hedgehog	eriEur2
Honey_bee	apiMel2
Horse	equCab2
Human	hg38
Kangaroo_rat	dipOrd1
Kiwi	aptMan1
Lamprey	petMar2
Lancelet	braFlo1
Lizard	anoCar2
Marmoset	calJac3
Medaka	oryLat2
Medium_ground_finch	geoFor1
Megabat	pteVam1
Microbat	myoLuc2
Minke_whale	balAcu1
Mouse	mm10
Mouse_lemur	micMur2
Naked_mole_rat	hetGla2
Nile_tilapia	oreNil2
Oppossum	monDom5
Orangutan	ponAbe2
Panda	ailMel1
Baboon	papAnu2
Pig	susScr3
Pika	ochPri3
Platypus	ornAna2
Purple_sea_urchin	strPur2
Rabbit	oryCun2
Rat	rn6
Rhesus	rheMac3
Rock_hyrax	proCap1
Sea hare	aplCal1
Sheep	oviAri3
Shrew	sorAra2
Sloth	choHof1
Squirrel_monkey	saiBol1
Sticleback	gasAcu1
Tarsier	tarSyr2
Tasmanian_devil	sarHar1
Tenrec	echTel2
Tetraodon	tetNig2
Thirteen_lined_ground_squirrel	speTri2
Tree_shrew	tupBel1
Turkey	melGal1
Wallaby	macEug2
White_rhinoceros	cerSim1
X.tropicalis	xenTro7
Zebra_finch	taeGut2
Zebrafish	danRer10
